file,r2_threshold,bin_width_nm,n_points_total,n_points_pass_r2,n_points_weighted,mean_pitch_nm_unweighted,std_pitch_nm_unweighted,mean_pitch_nm_weighted,sem_pitch_nm_weighted,weighting_method
-600 um,0,0.2,100,100,100,556.0105540847018,0.3469286963861516,556.0499554417355,0.03426511519646955,weighted (sigma=pitch_err_nm)
-400 um,0,0.2,100,100,100,633.1901826569343,1.5146793510331742,633.3874181928038,0.020709095338217885,weighted (sigma=pitch_err_nm)
-200 um,0,0.2,100,100,100,670.7856772537141,0.608940221579507,670.7455484127534,0.015934103931242675,weighted (sigma=pitch_err_nm)
0 um,0,0.2,100,100,100,667.395613666693,0.2225849176601833,667.3798452117959,0.020616271203508937,weighted (sigma=pitch_err_nm)
200 um,0,0.2,100,100,100,619.2980935642199,0.8809648841768799,619.1943633856896,0.10578452879296853,weighted (sigma=pitch_err_nm)
400 um,0,0.2,100,100,100,537.8145610844633,3.758330495510625,537.4576101528352,0.11761778939018222,weighted (sigma=pitch_err_nm)
600 um,0,0.2,100,100,100,505.1298101269255,3.492004040198495,505.41580341875147,0.10916368732989325,weighted (sigma=pitch_err_nm)
